context_uid,page,context_index,context
33_2,33,2,"Multiple trials have compared the addition of 
an ARB to beta-blocker therapy in patients with 
Marfan syndrome3,4,8; in 2 studies, the addition of 
an ARB led to a reduction of aortic root growth 
rates over a 3- to 5-year follow-up,3,4 and a meta-
analysis confirmed slower aortic growth rates with 
combination therapy.11
6.1.2.2.3. Marfan Syndrome Interventions: 
Replacement of the Aortic Root in Patients With 
Marfan SyndromeRecommendations for Marfan Syndrome Interventions: Replacement of 
the Aortic Root in Patients With Marfan Syndrome
Referenced studies that support the recommendations are 
summarized in the Online Data Supplement. In patients with Marfan syndrome and an 
aortic root diameter of ≥5.0 cm, surgery to 
replace the aortic root and ascending aorta is 
recommended.1-4
2a B-NR2. In patients with Marfan syndrome, an aortic 
root diameter of ≥4.5 cm, and features associ-
ated with an increased risk of aortic dissection 
(see Table 10), surgery to replace the aortic 
root and ascending aorta is reasonable, when 
performed by experienced surgeons in a Mul-
tidisciplinary Aortic Team.1,3,4
2a C-LD3. In patients with Marfan syndrome and a maxi-
mal cross-sectional aortic root area (cm2) 
to patient height (m) ratio of ≥10, surgery to 
replace the aortic root and ascending aorta is 
reasonable, when performed by experienced 
surgeons in a Multidisciplinary Aortic Team.5
2b C-LD4."
33_3,33,3,"In patients with Marfan syndrome and an 
aortic root diameter of ≥5.0 cm, surgery to 
replace the aortic root and ascending aorta is 
recommended.1-4
2a B-NR2. In patients with Marfan syndrome, an aortic 
root diameter of ≥4.5 cm, and features associ-
ated with an increased risk of aortic dissection 
(see Table 10), surgery to replace the aortic 
root and ascending aorta is reasonable, when 
performed by experienced surgeons in a Mul-
tidisciplinary Aortic Team.1,3,4
2a C-LD3. In patients with Marfan syndrome and a maxi-
mal cross-sectional aortic root area (cm2) 
to patient height (m) ratio of ≥10, surgery to 
replace the aortic root and ascending aorta is 
reasonable, when performed by experienced 
surgeons in a Multidisciplinary Aortic Team.5
2b C-LD4. In patients with Marfan syndrome and an aor-
tic diameter approaching surgical threshold, 
who are candidates for valve-sparing root 
replacement (VSRR) and have a very low 
surgical risk, surgery to replace the aortic root 
and ascending aorta may be reasonable when 
performed by experienced surgeons in a Mul-
tidisciplinary Aortic Team.2-4Synopsis
Prophylactic aortic root replacement for aneurysm dis-
ease prevents type A aortic dissection and improves 
survival in Marfan syndrome.6-8 The size threshold for 
elective surgery to replace the dilated aortic root in Mar-
fan syndrome is dependent on many factors, including 
the patient’s age, height and weight, family history, rate 
of aortic growth, and other patient-specific factors.1,3-5,9 
In patients with Marfan syndrome who are managed with 
optimal medical therapy and whose aortic diameters are 
<5.0 cm, the risk of aortic dissection is low.3,4,10 However, 
the risk of aortic dissection increases when the aortic 
diameter is >5.0 cm and is greater in patients with a fam-
ily history of aortic dissection or rapid aortic growth.3,4,10
Recommendation-Specific Supportive Text
1."
33_4,33,4,"In patients with Marfan syndrome, an aortic 
root diameter of ≥4.5 cm, and features associ-
ated with an increased risk of aortic dissection 
(see Table 10), surgery to replace the aortic 
root and ascending aorta is reasonable, when 
performed by experienced surgeons in a Mul-
tidisciplinary Aortic Team.1,3,4
2a C-LD3. In patients with Marfan syndrome and a maxi-
mal cross-sectional aortic root area (cm2) 
to patient height (m) ratio of ≥10, surgery to 
replace the aortic root and ascending aorta is 
reasonable, when performed by experienced 
surgeons in a Multidisciplinary Aortic Team.5
2b C-LD4. In patients with Marfan syndrome and an aor-
tic diameter approaching surgical threshold, 
who are candidates for valve-sparing root 
replacement (VSRR) and have a very low 
surgical risk, surgery to replace the aortic root 
and ascending aorta may be reasonable when 
performed by experienced surgeons in a Mul-
tidisciplinary Aortic Team.2-4Synopsis
Prophylactic aortic root replacement for aneurysm dis-
ease prevents type A aortic dissection and improves 
survival in Marfan syndrome.6-8 The size threshold for 
elective surgery to replace the dilated aortic root in Mar-
fan syndrome is dependent on many factors, including 
the patient’s age, height and weight, family history, rate 
of aortic growth, and other patient-specific factors.1,3-5,9 
In patients with Marfan syndrome who are managed with 
optimal medical therapy and whose aortic diameters are 
<5.0 cm, the risk of aortic dissection is low.3,4,10 However, 
the risk of aortic dissection increases when the aortic 
diameter is >5.0 cm and is greater in patients with a fam-
ily history of aortic dissection or rapid aortic growth.3,4,10
Recommendation-Specific Supportive Text
1. In patients with Marfan syndrome and a dilated 
aortic root, elective aortic root and ascending aortic 
replacement before aortic dissection improves sur-
vival.6-8 A landmark report in 1995 documented the 
marked improvement in lifespan among patients 
with Marfan syndrome treated with elective aortic 
repair compared with historical controls from previ-
ous eras.6,10 Although risk of aortic dissection is low 
in patients with Marfan syndrome who are receiv-
ing appropriate medical care and lifestyle modifica-
tions, the risk of aortic dissection increases when 
the aortic diameter is >5.0 cm.3,4,11 When pro-
phylactic surgical aortic repair is performed, both 
the aortic root and ascending aorta are replaced; 
although some centers have advocated including 
hemiarch replacement in patients at the time of 
elective root/ascending aorta replacement, data to 
support this approach are lacking."
33_5,33,5,"In patients with Marfan syndrome and a maxi-
mal cross-sectional aortic root area (cm2) 
to patient height (m) ratio of ≥10, surgery to 
replace the aortic root and ascending aorta is 
reasonable, when performed by experienced 
surgeons in a Multidisciplinary Aortic Team.5
2b C-LD4. In patients with Marfan syndrome and an aor-
tic diameter approaching surgical threshold, 
who are candidates for valve-sparing root 
replacement (VSRR) and have a very low 
surgical risk, surgery to replace the aortic root 
and ascending aorta may be reasonable when 
performed by experienced surgeons in a Mul-
tidisciplinary Aortic Team.2-4Synopsis
Prophylactic aortic root replacement for aneurysm dis-
ease prevents type A aortic dissection and improves 
survival in Marfan syndrome.6-8 The size threshold for 
elective surgery to replace the dilated aortic root in Mar-
fan syndrome is dependent on many factors, including 
the patient’s age, height and weight, family history, rate 
of aortic growth, and other patient-specific factors.1,3-5,9 
In patients with Marfan syndrome who are managed with 
optimal medical therapy and whose aortic diameters are 
<5.0 cm, the risk of aortic dissection is low.3,4,10 However, 
the risk of aortic dissection increases when the aortic 
diameter is >5.0 cm and is greater in patients with a fam-
ily history of aortic dissection or rapid aortic growth.3,4,10
Recommendation-Specific Supportive Text
1. In patients with Marfan syndrome and a dilated 
aortic root, elective aortic root and ascending aortic 
replacement before aortic dissection improves sur-
vival.6-8 A landmark report in 1995 documented the 
marked improvement in lifespan among patients 
with Marfan syndrome treated with elective aortic 
repair compared with historical controls from previ-
ous eras.6,10 Although risk of aortic dissection is low 
in patients with Marfan syndrome who are receiv-
ing appropriate medical care and lifestyle modifica-
tions, the risk of aortic dissection increases when 
the aortic diameter is >5.0 cm.3,4,11 When pro-
phylactic surgical aortic repair is performed, both 
the aortic root and ascending aorta are replaced; 
although some centers have advocated including 
hemiarch replacement in patients at the time of 
elective root/ascending aorta replacement, data to 
support this approach are lacking. In large series of patients with Marfan syndrome, 
about 20% have undergone elective surgery when 
aortic root diameters are <5.0 cm.3,4,11 Predictors 
of aortic dissection and other adverse aortic out-
comes in Marfan syndrome are listed in Table 10."
33_6,33,6,"In patients with Marfan syndrome and an aor-
tic diameter approaching surgical threshold, 
who are candidates for valve-sparing root 
replacement (VSRR) and have a very low 
surgical risk, surgery to replace the aortic root 
and ascending aorta may be reasonable when 
performed by experienced surgeons in a Mul-
tidisciplinary Aortic Team.2-4Synopsis
Prophylactic aortic root replacement for aneurysm dis-
ease prevents type A aortic dissection and improves 
survival in Marfan syndrome.6-8 The size threshold for 
elective surgery to replace the dilated aortic root in Mar-
fan syndrome is dependent on many factors, including 
the patient’s age, height and weight, family history, rate 
of aortic growth, and other patient-specific factors.1,3-5,9 
In patients with Marfan syndrome who are managed with 
optimal medical therapy and whose aortic diameters are 
<5.0 cm, the risk of aortic dissection is low.3,4,10 However, 
the risk of aortic dissection increases when the aortic 
diameter is >5.0 cm and is greater in patients with a fam-
ily history of aortic dissection or rapid aortic growth.3,4,10
Recommendation-Specific Supportive Text
1. In patients with Marfan syndrome and a dilated 
aortic root, elective aortic root and ascending aortic 
replacement before aortic dissection improves sur-
vival.6-8 A landmark report in 1995 documented the 
marked improvement in lifespan among patients 
with Marfan syndrome treated with elective aortic 
repair compared with historical controls from previ-
ous eras.6,10 Although risk of aortic dissection is low 
in patients with Marfan syndrome who are receiv-
ing appropriate medical care and lifestyle modifica-
tions, the risk of aortic dissection increases when 
the aortic diameter is >5.0 cm.3,4,11 When pro-
phylactic surgical aortic repair is performed, both 
the aortic root and ascending aorta are replaced; 
although some centers have advocated including 
hemiarch replacement in patients at the time of 
elective root/ascending aorta replacement, data to 
support this approach are lacking. In large series of patients with Marfan syndrome, 
about 20% have undergone elective surgery when 
aortic root diameters are <5.0 cm.3,4,11 Predictors 
of aortic dissection and other adverse aortic out-
comes in Marfan syndrome are listed in Table 10. Indications for earlier aortic surgery may include 
rapid aortic growth (≥0.3 cm/y), family history of 
aortic dissection, desire for pregnancy, severe valve 
regurgitation, and patient preference.3,9,12 For most 
patients with Marfan syndrome, aortic growth rates 
are relatively slow, but the growth rate increases 
with aortic size.12Table 10."
33_7,33,7,"In patients with Marfan syndrome and a dilated 
aortic root, elective aortic root and ascending aortic 
replacement before aortic dissection improves sur-
vival.6-8 A landmark report in 1995 documented the 
marked improvement in lifespan among patients 
with Marfan syndrome treated with elective aortic 
repair compared with historical controls from previ-
ous eras.6,10 Although risk of aortic dissection is low 
in patients with Marfan syndrome who are receiv-
ing appropriate medical care and lifestyle modifica-
tions, the risk of aortic dissection increases when 
the aortic diameter is >5.0 cm.3,4,11 When pro-
phylactic surgical aortic repair is performed, both 
the aortic root and ascending aorta are replaced; 
although some centers have advocated including 
hemiarch replacement in patients at the time of 
elective root/ascending aorta replacement, data to 
support this approach are lacking. In large series of patients with Marfan syndrome, 
about 20% have undergone elective surgery when 
aortic root diameters are <5.0 cm.3,4,11 Predictors 
of aortic dissection and other adverse aortic out-
comes in Marfan syndrome are listed in Table 10. Indications for earlier aortic surgery may include 
rapid aortic growth (≥0.3 cm/y), family history of 
aortic dissection, desire for pregnancy, severe valve 
regurgitation, and patient preference.3,9,12 For most 
patients with Marfan syndrome, aortic growth rates 
are relatively slow, but the growth rate increases 
with aortic size.12Table 10. Features Associated With Increased Risk of A ortic 
Complications in Marfan SyndromeFamily history of aortic dissection
Rapid aortic growth (/g1160.3 cm/y)
Diffuse aortic root and ascending aortic dilation14
Marked vertebral arterial tortuosity15"
34_0,34,0,"Aortic diameters vary depending on age, sex, 
height, and body size. Aortic event rates, includ-
ing aortic dissection, increase as the aortic size 
indexed to height (or body size) increases. When 
the maximal cross-sectional area in square (cm2) 
of the aortic root or ascending aorta divided by the 
patient’s height (m) is ≥ 10 cm2/m, prophylactic 
aortic root replacement is reasonable; when this 
cross-sectional area to height ratio was used to 
guide prophylactic surgery, patients had favorable 
outcomes. Aortic root replacement is associated with a very 
low surgical risk3,4,11 when performed by experi-
enced surgeons in Multidisciplinary Aortic Teams. The 2 aortic root replacement procedures per-
formed most commonly in the United States are 
a composite valved graft conduit and a VSRR.13 
The composite valved graft conduit consists of a 
prosthetic aortic valve (typically mechanical but 
may be bioprosthetic) and aortic graft, with reim-
plantation of the coronary arteries (often referred 
to as the modified Bentall procedure). The VSRR 
uses the David procedure, in which the native 
aortic valve is reimplanted into a prosthetic aortic 
graft that is attached to the left ventricular outflow 
tract proximally and to the ascending aorta distally. The advantage of the VSRR is that, if successful, 
patients can potentially avoid the lifelong risks and 
complications associated with prosthetic valves. Consequently, early prophylactic surgery can be 
considered when both the procedural and late risks 
are low."
34_1,34,1,"The VSRR 
uses the David procedure, in which the native 
aortic valve is reimplanted into a prosthetic aortic 
graft that is attached to the left ventricular outflow 
tract proximally and to the ascending aorta distally. The advantage of the VSRR is that, if successful, 
patients can potentially avoid the lifelong risks and 
complications associated with prosthetic valves. Consequently, early prophylactic surgery can be 
considered when both the procedural and late risks 
are low. However, durability of the spared native 
aortic valve is a potential concern; in one series of 
239 patients with Marfan syndrome undergoing 
VSRR, 7% developed at least moderate AR at 1 
year follow-up.13
6.1.2.2.4. Marfan Syndrome Interventions: 
Replacement of Primary (Nondissected) Aneurysms 
of the Aortic Arch, Descending, and Abdominal Aorta 
in Patients With Marfan SyndromeRecommendation for Replacement of Primary (Nondissected) 
Aneurysms of the Aortic Arch, Descending, and Abdominal Aorta in 
Patients With Marfan Syndrome
COR LOE Recommendation
2a C-EO1. In patients with Marfan syndrome and a 
nondissected aneurysm of the aortic arch, 
descending thoracic aorta, or abdominal 
aorta of ≥ 5.0 cm, surgical intervention 
to replace the aneurysmal segment is 
 reasonable."
34_2,34,2,"However, durability of the spared native 
aortic valve is a potential concern; in one series of 
239 patients with Marfan syndrome undergoing 
VSRR, 7% developed at least moderate AR at 1 
year follow-up.13
6.1.2.2.4. Marfan Syndrome Interventions: 
Replacement of Primary (Nondissected) Aneurysms 
of the Aortic Arch, Descending, and Abdominal Aorta 
in Patients With Marfan SyndromeRecommendation for Replacement of Primary (Nondissected) 
Aneurysms of the Aortic Arch, Descending, and Abdominal Aorta in 
Patients With Marfan Syndrome
COR LOE Recommendation
2a C-EO1. In patients with Marfan syndrome and a 
nondissected aneurysm of the aortic arch, 
descending thoracic aorta, or abdominal 
aorta of ≥ 5.0 cm, surgical intervention 
to replace the aneurysmal segment is 
 reasonable. Synopsis
Marfan syndrome most commonly leads to aneurysms 
of the aortic root and ascending aorta but may also 
affect the distal aorta and its branches.1-4 Unfortunately, 
there are no large datasets to inform the risk of aortic dissection or rupture in patients with Marfan syndrome 
with primary (nondissected) aneurysms of the aortic arch, 
descending, or abdominal aorta, so using a 5.0-cm diam-
eter threshold for surgery, as is used for the aortic root, 
is reasonable."
34_3,34,3,"Marfan Syndrome Interventions: 
Replacement of Primary (Nondissected) Aneurysms 
of the Aortic Arch, Descending, and Abdominal Aorta 
in Patients With Marfan SyndromeRecommendation for Replacement of Primary (Nondissected) 
Aneurysms of the Aortic Arch, Descending, and Abdominal Aorta in 
Patients With Marfan Syndrome
COR LOE Recommendation
2a C-EO1. In patients with Marfan syndrome and a 
nondissected aneurysm of the aortic arch, 
descending thoracic aorta, or abdominal 
aorta of ≥ 5.0 cm, surgical intervention 
to replace the aneurysmal segment is 
 reasonable. Synopsis
Marfan syndrome most commonly leads to aneurysms 
of the aortic root and ascending aorta but may also 
affect the distal aorta and its branches.1-4 Unfortunately, 
there are no large datasets to inform the risk of aortic dissection or rupture in patients with Marfan syndrome 
with primary (nondissected) aneurysms of the aortic arch, 
descending, or abdominal aorta, so using a 5.0-cm diam-
eter threshold for surgery, as is used for the aortic root, 
is reasonable. Although uncommon, aortic segments distal to 
the aortic root and ascending aorta may dilate in 
Marfan syndrome, and this occurs more often after 
elective aortic root replacement or after a previ-
ous aortic dissection involving these segments.5 
In patients at acceptable risk for operative repair 
or with a long life expectancy, operative interven-
tion to resect primary (nondissected) aneurysms 
involving the arch, descending, or abdominal aorta 
is reasonable at an aortic diameter threshold of 
≥5.0 cm, depending on the patient’s age, rate of 
aortic growth, family history, and surgical risk."
34_4,34,4,"In patients with Marfan syndrome and a 
nondissected aneurysm of the aortic arch, 
descending thoracic aorta, or abdominal 
aorta of ≥ 5.0 cm, surgical intervention 
to replace the aneurysmal segment is 
 reasonable. Synopsis
Marfan syndrome most commonly leads to aneurysms 
of the aortic root and ascending aorta but may also 
affect the distal aorta and its branches.1-4 Unfortunately, 
there are no large datasets to inform the risk of aortic dissection or rupture in patients with Marfan syndrome 
with primary (nondissected) aneurysms of the aortic arch, 
descending, or abdominal aorta, so using a 5.0-cm diam-
eter threshold for surgery, as is used for the aortic root, 
is reasonable. Although uncommon, aortic segments distal to 
the aortic root and ascending aorta may dilate in 
Marfan syndrome, and this occurs more often after 
elective aortic root replacement or after a previ-
ous aortic dissection involving these segments.5 
In patients at acceptable risk for operative repair 
or with a long life expectancy, operative interven-
tion to resect primary (nondissected) aneurysms 
involving the arch, descending, or abdominal aorta 
is reasonable at an aortic diameter threshold of 
≥5.0 cm, depending on the patient’s age, rate of 
aortic growth, family history, and surgical risk. T ype 
B aortic dissection occurs in about 10% of Marfan 
patients, often in the absence of significant dila-
tion of the descending aorta, and is sometimes 
associated with prior elective aortic root replace-
ment,1 a previous aortic dissection elsewhere,6 or 
pregnancy.7
6.1.2.3."
34_5,34,5,"Synopsis
Marfan syndrome most commonly leads to aneurysms 
of the aortic root and ascending aorta but may also 
affect the distal aorta and its branches.1-4 Unfortunately, 
there are no large datasets to inform the risk of aortic dissection or rupture in patients with Marfan syndrome 
with primary (nondissected) aneurysms of the aortic arch, 
descending, or abdominal aorta, so using a 5.0-cm diam-
eter threshold for surgery, as is used for the aortic root, 
is reasonable. Although uncommon, aortic segments distal to 
the aortic root and ascending aorta may dilate in 
Marfan syndrome, and this occurs more often after 
elective aortic root replacement or after a previ-
ous aortic dissection involving these segments.5 
In patients at acceptable risk for operative repair 
or with a long life expectancy, operative interven-
tion to resect primary (nondissected) aneurysms 
involving the arch, descending, or abdominal aorta 
is reasonable at an aortic diameter threshold of 
≥5.0 cm, depending on the patient’s age, rate of 
aortic growth, family history, and surgical risk. T ype 
B aortic dissection occurs in about 10% of Marfan 
patients, often in the absence of significant dila-
tion of the descending aorta, and is sometimes 
associated with prior elective aortic root replace-
ment,1 a previous aortic dissection elsewhere,6 or 
pregnancy.7
6.1.2.3. Imaging in Loeys-Dietz SyndromeRecommendations for Imaging in Loeys-Dietz Syndrome
COR LOE Recommendations
1 C-EO1."
34_6,34,6,"Although uncommon, aortic segments distal to 
the aortic root and ascending aorta may dilate in 
Marfan syndrome, and this occurs more often after 
elective aortic root replacement or after a previ-
ous aortic dissection involving these segments.5 
In patients at acceptable risk for operative repair 
or with a long life expectancy, operative interven-
tion to resect primary (nondissected) aneurysms 
involving the arch, descending, or abdominal aorta 
is reasonable at an aortic diameter threshold of 
≥5.0 cm, depending on the patient’s age, rate of 
aortic growth, family history, and surgical risk. T ype 
B aortic dissection occurs in about 10% of Marfan 
patients, often in the absence of significant dila-
tion of the descending aorta, and is sometimes 
associated with prior elective aortic root replace-
ment,1 a previous aortic dissection elsewhere,6 or 
pregnancy.7
6.1.2.3. Imaging in Loeys-Dietz SyndromeRecommendations for Imaging in Loeys-Dietz Syndrome
COR LOE Recommendations
1 C-EO1. In patients with Loeys-Dietz syndrome, a 
baseline TTE is recommended to determine 
the diameters of the aortic root and ascending 
aorta, and 6 months thereafter to determine 
the rate of aortic growth; if the aortic diam-
eters are stable, annual surveillance TTE is 
recommended.1-3
1 C-EO2. In patients with Loeys-Dietz syndrome and 
a dilated or dissected aorta and/or arterial 
branches at baseline, annual surveillance 
imaging of the affected aorta and arteries with 
MRI or CT is recommended.1
1 C-LD3."
34_7,34,7,"Imaging in Loeys-Dietz SyndromeRecommendations for Imaging in Loeys-Dietz Syndrome
COR LOE Recommendations
1 C-EO1. In patients with Loeys-Dietz syndrome, a 
baseline TTE is recommended to determine 
the diameters of the aortic root and ascending 
aorta, and 6 months thereafter to determine 
the rate of aortic growth; if the aortic diam-
eters are stable, annual surveillance TTE is 
recommended.1-3
1 C-EO2. In patients with Loeys-Dietz syndrome and 
a dilated or dissected aorta and/or arterial 
branches at baseline, annual surveillance 
imaging of the affected aorta and arteries with 
MRI or CT is recommended.1
1 C-LD3. In patients with Loeys-Dietz syndrome, a 
baseline MRI or CT from head to pelvis is 
recommended to evaluate the entire aorta 
and its branches for aneurysm, dissection, and 
tortuosity.1-4
2a C-EO4. In patients with Loeys-Dietz syndrome with-
out dilation of the aorta distal to the aortic 
root or ascending aorta and without dilated 
or dissected arterial branches, surveillance 
imaging from chest to pelvis with MRI (or 
CT) every 2 years is reasonable, but imaging 
may be more frequent depending on family 
 history. In patients with Loeys-Dietz syndrome with-
out dilation of the cerebral arteries on initial 
screening, periodic imaging surveillance for 
cerebral aneurysms with MRI or CT every 2 to 
3 years is reasonable."
35_0,35,0,"CLINICAL STATEMENTS  
AND GUIDELINESSynopsis
Loeys-Dietz syndrome is characterized by aortic and 
branch vessel aneurysms and dissections, arterial tortuos-
ity, and skeletal features similar to those seen in Marfan 
syndrome but with unique craniofacial and cutaneous fea-
tures.1 Pathogenic variants in 5 genes cause Loeys-Dietz 
syndrome, also termed transforming growth factor-β  vas-
culopathies.1-3,5,6 Some pathogenic variants in Loeys-Dietz 
syndrome genes, in particular TGFBR1 and TGFBR2, may 
have earlier onset TAD.7 All the Loeys-Dietz syndrome 
genes confer a risk for aortic involvement distal to the 
aortic root along with branch vessel and intracranial aneu-
rysms.1,8-11 Most clinical information is available in patients 
with TGFBR1 and TGFBR2 pathogenic variants.1,8 Patho-
genic variants in SMAD3 are associated with premature 
osteoarthritis and later onset of TAD.9,12 There is much less 
information about the aortic and branch vessel disease in 
patients with variants in TGFB2 and TGFB3.13-16 Imaging 
with CT or MRI, from head to pelvis, is indicated to evalu-
ate for aneurysms and arterial tortuosity. Aortic root and ascending aortic aneurysm and 
aortic dissection are leading causes of morbidity 
and mortality in Loeys-Dietz syndrome.1,8,9,12 Aortic 
dissection may occur at relatively small aortic 
diameters in Loeys-Dietz syndrome when related 
to pathogenic variants in TGFBR1, TGFBR2, and 
SMAD3.1,2,6 The specific genetic variant and sever-
ity of extra-aortic phenotypic features, including 
craniofacial features, degree of arterial tortuosity, 
cutaneous findings, and family history inform the 
risk of aortic events.1,2,6 The aortic root and ascend-
ing aortic diameters are typically measured by TTE."
35_1,35,1,"CLINICAL STATEMENTS  
AND GUIDELINESSynopsis
Loeys-Dietz syndrome is characterized by aortic and 
branch vessel aneurysms and dissections, arterial tortuos-
ity, and skeletal features similar to those seen in Marfan 
syndrome but with unique craniofacial and cutaneous fea-
tures.1 Pathogenic variants in 5 genes cause Loeys-Dietz 
syndrome, also termed transforming growth factor-β  vas-
culopathies.1-3,5,6 Some pathogenic variants in Loeys-Dietz 
syndrome genes, in particular TGFBR1 and TGFBR2, may 
have earlier onset TAD.7 All the Loeys-Dietz syndrome 
genes confer a risk for aortic involvement distal to the 
aortic root along with branch vessel and intracranial aneu-
rysms.1,8-11 Most clinical information is available in patients 
with TGFBR1 and TGFBR2 pathogenic variants.1,8 Patho-
genic variants in SMAD3 are associated with premature 
osteoarthritis and later onset of TAD.9,12 There is much less 
information about the aortic and branch vessel disease in 
patients with variants in TGFB2 and TGFB3.13-16 Imaging 
with CT or MRI, from head to pelvis, is indicated to evalu-
ate for aneurysms and arterial tortuosity. Aortic root and ascending aortic aneurysm and 
aortic dissection are leading causes of morbidity 
and mortality in Loeys-Dietz syndrome.1,8,9,12 Aortic 
dissection may occur at relatively small aortic 
diameters in Loeys-Dietz syndrome when related 
to pathogenic variants in TGFBR1, TGFBR2, and 
SMAD3.1,2,6 The specific genetic variant and sever-
ity of extra-aortic phenotypic features, including 
craniofacial features, degree of arterial tortuosity, 
cutaneous findings, and family history inform the 
risk of aortic events.1,2,6 The aortic root and ascend-
ing aortic diameters are typically measured by TTE. BAV is more common in Loeys-Dietz syndrome and 
can be diagnosed by TTE.17 Patients with Loeys-
Dietz syndrome attributable to certain pathogenic 
variants are at risk for aortic dissection at relatively 
small aortic diameters.1,8 In patients with Loeys-
Dietz syndrome, the stability of the aortic size 6 
months after the initial diagnosis should be deter-
mined, and then, once stability is confirmed, moni-
tored with annual surveillance imaging.1,2
2."
35_2,35,2,"CLINICAL STATEMENTS  
AND GUIDELINESSynopsis
Loeys-Dietz syndrome is characterized by aortic and 
branch vessel aneurysms and dissections, arterial tortuos-
ity, and skeletal features similar to those seen in Marfan 
syndrome but with unique craniofacial and cutaneous fea-
tures.1 Pathogenic variants in 5 genes cause Loeys-Dietz 
syndrome, also termed transforming growth factor-β  vas-
culopathies.1-3,5,6 Some pathogenic variants in Loeys-Dietz 
syndrome genes, in particular TGFBR1 and TGFBR2, may 
have earlier onset TAD.7 All the Loeys-Dietz syndrome 
genes confer a risk for aortic involvement distal to the 
aortic root along with branch vessel and intracranial aneu-
rysms.1,8-11 Most clinical information is available in patients 
with TGFBR1 and TGFBR2 pathogenic variants.1,8 Patho-
genic variants in SMAD3 are associated with premature 
osteoarthritis and later onset of TAD.9,12 There is much less 
information about the aortic and branch vessel disease in 
patients with variants in TGFB2 and TGFB3.13-16 Imaging 
with CT or MRI, from head to pelvis, is indicated to evalu-
ate for aneurysms and arterial tortuosity. Aortic root and ascending aortic aneurysm and 
aortic dissection are leading causes of morbidity 
and mortality in Loeys-Dietz syndrome.1,8,9,12 Aortic 
dissection may occur at relatively small aortic 
diameters in Loeys-Dietz syndrome when related 
to pathogenic variants in TGFBR1, TGFBR2, and 
SMAD3.1,2,6 The specific genetic variant and sever-
ity of extra-aortic phenotypic features, including 
craniofacial features, degree of arterial tortuosity, 
cutaneous findings, and family history inform the 
risk of aortic events.1,2,6 The aortic root and ascend-
ing aortic diameters are typically measured by TTE. BAV is more common in Loeys-Dietz syndrome and 
can be diagnosed by TTE.17 Patients with Loeys-
Dietz syndrome attributable to certain pathogenic 
variants are at risk for aortic dissection at relatively 
small aortic diameters.1,8 In patients with Loeys-
Dietz syndrome, the stability of the aortic size 6 
months after the initial diagnosis should be deter-
mined, and then, once stability is confirmed, moni-
tored with annual surveillance imaging.1,2
2. Patients with Loeys-Dietz syndrome may have vari-
able aortic and branch vessel involvement and vari-
able rates of dilation of involved arterial segments 
over time."
35_3,35,3,"Aortic root and ascending aortic aneurysm and 
aortic dissection are leading causes of morbidity 
and mortality in Loeys-Dietz syndrome.1,8,9,12 Aortic 
dissection may occur at relatively small aortic 
diameters in Loeys-Dietz syndrome when related 
to pathogenic variants in TGFBR1, TGFBR2, and 
SMAD3.1,2,6 The specific genetic variant and sever-
ity of extra-aortic phenotypic features, including 
craniofacial features, degree of arterial tortuosity, 
cutaneous findings, and family history inform the 
risk of aortic events.1,2,6 The aortic root and ascend-
ing aortic diameters are typically measured by TTE. BAV is more common in Loeys-Dietz syndrome and 
can be diagnosed by TTE.17 Patients with Loeys-
Dietz syndrome attributable to certain pathogenic 
variants are at risk for aortic dissection at relatively 
small aortic diameters.1,8 In patients with Loeys-
Dietz syndrome, the stability of the aortic size 6 
months after the initial diagnosis should be deter-
mined, and then, once stability is confirmed, moni-
tored with annual surveillance imaging.1,2
2. Patients with Loeys-Dietz syndrome may have vari-
able aortic and branch vessel involvement and vari-
able rates of dilation of involved arterial segments 
over time. In Loeys-Dietz syndrome patients with 
aortic aneurysm or previous dissection, relatively 
rapid arterial enlargement may occur.2,18,19
3."
35_4,35,4,"BAV is more common in Loeys-Dietz syndrome and 
can be diagnosed by TTE.17 Patients with Loeys-
Dietz syndrome attributable to certain pathogenic 
variants are at risk for aortic dissection at relatively 
small aortic diameters.1,8 In patients with Loeys-
Dietz syndrome, the stability of the aortic size 6 
months after the initial diagnosis should be deter-
mined, and then, once stability is confirmed, moni-
tored with annual surveillance imaging.1,2
2. Patients with Loeys-Dietz syndrome may have vari-
able aortic and branch vessel involvement and vari-
able rates of dilation of involved arterial segments 
over time. In Loeys-Dietz syndrome patients with 
aortic aneurysm or previous dissection, relatively 
rapid arterial enlargement may occur.2,18,19
3. Patients with Loeys-Dietz syndrome are at risk 
for widespread aortic and branch vessel aneurys-
mal disease and dissections.1,12 In a series of 90 
patients with Loeys-Dietz syndrome attributable 
to pathogenic variants in TGFBR1 and TGFBR2, aneurysm disease involved the ascending aorta 
in 78%, arch in 10%, descending aorta in 10%, 
abdominal aorta and branches in 17%, thoracic 
aortic branches in 21%, and head and neck arterial 
branches in 10%.1 Among patients with SMAD3-
related disease, aneurysms from head to pelvis are 
also described.9,12 Individuals with Loeys-Dietz syn-
drome can be at risk for TAD and other vascular 
diseases in the absence of other systemic features 
characteristic of Marfan syndrome or Loeys-Dietz 
syndrome. Although there is phenotypic overlap 
among the genes, there is also distinct vascular 
disease and systemic complications associated 
with each gene."
